recommender,metric,n_runs,mean,ci95_low,ci95_high,std
popularity,avg_satisfaction,10,0.6455,0.6447,0.6464,0.0012
popularity,avg_sustainability,10,0.523,0.5221,0.5238,0.0011
popularity,poi_coverage,10,0.9588,0.9465,0.9711,0.0172
popularity,district_gini,10,0.6823,0.6797,0.6848,0.0036
popularity,district_entropy,10,1.4311,1.423,1.4393,0.0114
popularity,exposure_gini,10,0.8228,0.8224,0.8233,0.0006
popularity,peak_occupancy_ratio,10,2.56,2.5416,2.5784,0.0257
popularity,temporal_overcap_share,10,0.5757,0.5716,0.5798,0.0057
popularity,wealth_gini,10,0.6508,0.6484,0.6533,0.0034
popularity,local_spend_share,10,0.3819,0.3799,0.3839,0.0028
popularity,precision_at_5,10,0.4249,0.4212,0.4286,0.0052
popularity,diversity_at_5,10,0.7683,0.7668,0.7698,0.0021
popularity,novelty_at_5,10,0.1175,0.1173,0.1178,0.0003
personalized,avg_satisfaction,10,0.7556,0.755,0.7563,0.0009
personalized,avg_sustainability,10,0.6135,0.6126,0.6145,0.0013
personalized,poi_coverage,10,0.9804,0.9804,0.9804,0.0
personalized,district_gini,10,0.5567,0.5543,0.5592,0.0034
personalized,district_entropy,10,1.7563,1.7508,1.7617,0.0077
personalized,exposure_gini,10,0.417,0.4151,0.4188,0.0026
personalized,peak_occupancy_ratio,10,1.5774,1.524,1.6309,0.0748
personalized,temporal_overcap_share,10,0.1628,0.1572,0.1684,0.0078
personalized,wealth_gini,10,0.528,0.5252,0.5308,0.0039
personalized,local_spend_share,10,0.4882,0.4857,0.4907,0.0035
personalized,precision_at_5,10,0.8535,0.8505,0.8565,0.0042
personalized,diversity_at_5,10,0.5719,0.5698,0.5741,0.003
personalized,novelty_at_5,10,0.3356,0.3346,0.3367,0.0015
sustainable,avg_satisfaction,10,0.7479,0.7473,0.7485,0.0008
sustainable,avg_sustainability,10,0.6702,0.6698,0.6706,0.0006
sustainable,poi_coverage,10,0.9824,0.9779,0.9868,0.0062
sustainable,district_gini,10,0.3783,0.3769,0.3796,0.0019
sustainable,district_entropy,10,2.0558,2.0538,2.0579,0.0029
sustainable,exposure_gini,10,0.3837,0.3812,0.3861,0.0034
sustainable,peak_occupancy_ratio,10,2.2083,2.1413,2.2754,0.0937
sustainable,temporal_overcap_share,10,0.1627,0.1577,0.1677,0.007
sustainable,wealth_gini,10,0.3482,0.3467,0.3497,0.0021
sustainable,local_spend_share,10,0.5235,0.5214,0.5256,0.003
sustainable,precision_at_5,10,0.7609,0.7581,0.7638,0.004
sustainable,diversity_at_5,10,0.5765,0.5751,0.5779,0.0019
sustainable,novelty_at_5,10,0.432,0.4307,0.4334,0.0019
